车名,价格,里程,发布时间,转手次数,挡位,排量,驱动类型,环保标准,发动机,车型,燃油类型,颜色
揽胜 2019款 3.0 SC V6 传世加长版,"98.80, , ",9.5,2020年1月,1,自动,3,四驱,欧V,3,中大型SUV,95,白色
Polo 2018款 1.5L 手动安驾型,"4.38, , ",5,2018年10月,0,手动,1.5,前驱,国V,1.5,小型车,92,白色
红旗H5 2023款 2.0T 自动智联旗享版,"13.38, , ",1.8,2022年10月,0,自动,2,前驱,国VI,2,中型车,95,黑色
奔驰E级 2020款 E 260 L 运动型,"27.88, , ",8,2020年3月,0,自动,1.5,后驱,国VI,1.5,中大型车,95,白色
逸动 2022款 PLUS 蓝鲸NE 1.4T GDI DCT尊贵版,"5.88, , ",0.8,2023年10月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,92,银/灰色
蒙迪欧 2017款 EcoBoost 180 时尚型,"6.98, , ",3,2017年10月,0,自动,1.5,前驱,国V,1.5,中型车,92,白色
蒙迪欧 2013款 2.0L GTDi200时尚型,"5.38, , ",9.5,2014年8月,0,自动,2,前驱,国IV(国V),2,中型车,92,白色
福克斯 2012款 两厢 1.6L 手动风尚型,"3.38, , ",8,2014年6月,0,手动,1.6,前驱,国IV,1.6,紧凑型车,92,白色
长安CS75 PLUS 2020款 1.5T 自动豪华型,"8.58, , ",7,2020年8月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
林肯MKZ 2018款 2.0T 尊雅版,"10.30, , ",7.64,2018年7月,0,自动,2,前驱,国V,2,中型车,92,黑色
", 智跑 2019款 2.0L 自动智享豪华版","9.38, , ",2.2,2021年2月,,", ",", ",,", ",,,,
奥迪A3 2020款 Limousine 35 TFSI 进取型 国VI,"10.38, , ",3.98,2020年12月,1,自动,1.4,前驱,国VI,1.4,紧凑型车,95,白色
", 宝马7系 2019款 740Li 领先型 M运动套装",,9.3,2019年10月,,", ",", ",,", ",,,,
", 奥迪Q5L 2020款 45 TFSI 尊享时尚型","24.80, , ",6,2020年9月,,", ",", ",,", ",,,,
星瑞 2023款 2.0TD 只此青绿版,"9.68, , ",1.2,2023年5月,0,自动,2,前驱,国VI,2,紧凑型车,95,绿色
哈弗H6 2021款 1.5GDIT 自动都市版,"7.18, , ",2,2021年6月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,黑色
朗逸 2021款 280TSI DSG舒适版,"8.88, , ",2.6,2021年2月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,白色
宝马X3 2020款  xDrive30i 领先型 M运动套装,"28.38, , ",9,2020年1月,2,自动,2,四驱,国VI,2,中型SUV,95,蓝色
领克03 2022款 1.5TD DCT劲Pro,"9.90, , ",3,2022年3月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,95,银/灰色
长安CS15 2019款 1.5L 自动悦享型 国V,"3.88, , ",3.5,2019年4月,0,自动,1.5,前驱,国V,1.5,小型SUV,92,白色
速腾 2017款 1.6L 自动舒适型,"6.58, , ",7.7,2017年2月,0,自动,1.6,前驱,国V,1.6,紧凑型车,92,白色
英仕派 2019款 260TURBO 精致版 国VI,"12.38, , ",8.5,2019年12月,0,自动,1.5,前驱,国VI,1.5,中型车,92,白色
星瑞 2021款 2.0TD 豪华型,"7.68, , ",2.3,2022年1月,0,自动,2,前驱,国VI,2,紧凑型车,95,黑色
标致408 2018款 改款 230THP 自动豪华版,"3.98, , ",7,2018年5月,0,自动,1.2,前驱,国V,1.2,紧凑型车,92,白色
昂科威 2022款 改款 昂科威S GS 四驱运动型,"18.88, , ",0.5,2023年3月,0,自动,2,四驱,国VI,2,中型SUV,95,黑色
伊兰特 2022款 1.5L CVT GLX精英版,"6.58, , ",2.2,2022年6月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
宝来 2017款 230TSI DSG舒适型,"7.68, , ",6,2017年11月,1,自动,1.4,前驱,国V,1.4,紧凑型车,95,红/紫色
奔驰E级 2019款 E 200 L,"28.28, , ",7,2019年3月,0,自动,2,后驱,国VI,2,中大型车,95,黑色
途观 2012款 2.0TSI 自动四驱旗舰版,"3.80, , ",12.7,2013年4月,1,自动,2,四驱,国IV(国V),2,紧凑型SUV,95,白色
凌渡 2019款 280TSI DSG舒适版 国V,"8.88, , ",4.2,2019年4月,0,自动,1.4,前驱,国V,1.4,紧凑型车,95,白色
速腾 2017款 230TSI 自动舒适型,"5.98, , ",12.3,2017年8月,1,自动,1.4,前驱,国V,1.4,紧凑型车,95,银/灰色
奥迪A4L 2018款 30周年年型 40 TFSI 进取型,"13.98, , ",6.8,2018年5月,0,自动,2,前驱,国V,2,中型车,95,白色
奔驰C级 2020款 改款 C 200 L 时尚型,"20.98, , ",6.59,2020年6月,1,自动,1.5,后驱,国VI,1.5,中型车,95,蓝色
奔驰A级 2020款 A 200 L 运动轿车,"14.18, , ",4.7,2020年2月,0,自动,1.3,前驱,国VI,1.3,紧凑型车,95,白色
奔驰E级 2019款 E 200 L 运动型 4MATIC,"28.18, , ",8,2019年6月,1,自动,2,四驱,国VI,2,中大型车,95,黑色
博越 2016款 1.8TD 自动智慧型,"4.59, , ",9.26,2016年9月,1,自动,1.8,前驱,国V,1.8,紧凑型SUV,92,黄/橙色
福克斯 2015款 两厢 EcoBoost 180 自动精英型,"5.88, , ",6,2018年12月,0,自动,1.5,前驱,国V,1.5,紧凑型车,92,白色
奥迪A3 2023款 A3L Limousine 35 TFSI 豪华运动型,"17.80, , ",0.9,2023年5月,1,自动,1.4,前驱,国VI,1.4,紧凑型车,95,绿色
高尔夫・嘉旅 2016款 230TSI 自动进取型,"7.38, , ",9.3,2017年2月,3,自动,1.4,前驱,国V,1.4,紧凑型车,95,白色
长安UNI-T 2020款 1.5T 尊贵型,"7.98, , ",2.2,2021年8月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,银/灰色
奥迪A6L 2018款 30周年年型 TFSI 进取型,"18.98, , ",8.6,2018年10月,0,自动,1.8,前驱,国V,1.8,中大型车,95,黑色
牧马人 2021款 2.0T 撒哈拉四门版,"38.60, , ",4.4,2022年2月,1,自动,2,四驱,国VI,2,中型SUV,95,黑色
领克03 2021款 1.5TD DCT劲 冠军版,"9.88, , ",4.6,2021年1月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,95,黑色
捷途X70 2020款 1.5T 手动尊行版 5座,"4.88, , ",5,2021年5月,0,手动,1.5,前驱,国VI,1.5,中型SUV,92,白色
奔腾T99 2020款 20TD 自动尊享型,"6.88, , ",3.6,2020年1月,0,自动,2,前驱,国VI,2,中大型SUV,95,白色
", 途观 2017款 300TSI 自动两驱丝绸之路舒适版","7.58, , ",12,2017年9月,,", ",", ",,", ",,,,
思域 2021款 HATCHBACK 220TURBO CVT潮酷控,"11.58, , ",5,2022年3月,1,自动,1.5,前驱,国VI,1.5,紧凑型车,92,蓝色
红旗H5 2019款 30TD 型动版,"6.68, , ",4.28,2019年11月,0,自动,1.8,前驱,国VI,1.8,中型车,92,黑色
君威 2015款 1.6T 领先技术型,"5.28, , ",7,2016年12月,0,自动,1.6,前驱,国V,1.6,中型车,92,白色
逸动 2021款 PLUS 蓝鲸NE 1.4T GDI DCT尊贵型,"6.28, , ",2.5,2022年1月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,92,银/灰色
", 奔驰E级 2020款 E 260 L 运动型","27.68, , ",7.5,2020年5月,,", ",", ",,", ",,,,
迈腾 2023款 200万辆纪念版 330TSI DSG豪华型,"17.12, , ",0.8,2023年4月,0,自动,2,前驱,国VI,2,中型车,95,黑色
帕萨特 2019款 280TSI 商务版 国VI,"9.68, , ",8,2019年11月,1,自动,1.4,前驱,国VI,1.4,中型车,95,黑色
凯迪拉克CT5 2020款 改款 28T 豪华型,"16.38, , ",5.6,2020年7月,0,自动,2,后驱,国VI,2,中型车,95,黑色
MG6 2020款 1.5T 自动Trophy智驾旗舰版,"5.68, , ",4.59,2020年11月,1,自动,1.5,前驱,国VI,1.5,紧凑型车,92,红/紫色
奥迪A3 2020款 Limousine 35 TFSI 时尚型 国V,"12.80, , ",5.4,2020年4月,0,自动,1.4,前驱,国V,1.4,紧凑型车,95,白色
迈锐宝XL 2020款 535T CVT锐行版,"8.58, , ",5,2020年6月,0,自动,1.3,前驱,国VI,1.3,中型车,92,白色
朗逸 2017款 1.6L 自动舒适版,"6.38, , ",7.6,2018年9月,0,自动,1.6,前驱,国V,1.6,紧凑型车,92,白色
逸动 2022款 PLUS 蓝鲸NE 1.4T GDI DCT旗舰版,"5.98, , ",1,2022年4月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,92,银/灰色
传祺M8 2021款 领秀系列 390T 豪华版,"13.98, , ",8.2,2022年6月,0,自动,2,前驱,国VI,2,,95,白色
影豹 2021款 270T DCT J16版,"7.62, , ",2.21,2022年9月,1,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
宝马5系 2021款 530Li 领先型 豪华套装,"35.80, , ",5.15,2021年1月,0,自动,2,后驱,国VI,2,中大型车,95,白色
影豹 2021款 270T DCT J16版,"8.38, , ",1.8,2022年1月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
长安UNI-V 2022款 1.5T 尊贵型,"7.58, , ",2.8,2021年12月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
瑞虎8 2019款 1.6TGDI 自动精英型,"6.98, , ",5,2020年5月,0,自动,1.6,前驱,国VI,1.6,中型SUV,92,白色
", 奥迪Q5 2017款 40 TFSI 技术型","15.50, , ",7.2,2017年6月,,", ",", ",,", ",,,,
长安UNI-V 2023款 1.5T 尊贵型,"8.20, , ",0.9,2023年2月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
长安UNI-V 2022款 1.5T 尊贵型,"7.80, , ",1.9,2022年3月,1,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
高尔夫 2018款 280TSI 自动R-Line型,"8.60, , ",8.5,2018年1月,0,自动,1.4,前驱,国V,1.4,紧凑型车,95,白色
长安UNI-V 2022款 1.5T 卓越型,"7.38, , ",1.8,2022年3月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
逸动 2023款 畅享版 PLUS 蓝鲸NE 1.4T GDI DCT尊贵版,"5.98, , ",1.5,2023年3月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,92,银/灰色
红旗HS5 2019款 2.0T 智联旗享版,"9.88, , ",3.3,2020年12月,1,自动,2,前驱,国VI,2,中型SUV,95,黑色
一汽-大众CC 2020款 330TSI 魅颜版 国VI,"13.98, , ",3.9,2019年12月,0,自动,2,前驱,国VI,2,中型车,95,黄/橙色
伊兰特 2021款 1.5L CVT LUX尊贵版,"6.58, , ",1.68,2022年5月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,蓝色
逸动 2021款 PLUS 蓝鲸NE 1.4T GDI DCT旗舰型,"5.48, , ",2.6,2021年8月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,92,银/灰色
瑞虎8 2019款 1.6TGDI 自动精英型,"6.60, , ",4.8,2019年12月,0,自动,1.6,前驱,国VI,1.6,中型SUV,92,白色
传祺GS8 2017款 320T 两驱豪华智联版（七座）,"9.66, , ",6.73,2019年8月,0,自动,2,前驱,国V,2,中型SUV,92,黑色
", 沃尔沃S90 2021款 B5 智远豪华版","23.88, , ",7.4,2021年1月,,", ",", ",,", ",,,,
宝马X3 2020款 xDrive25i M运动套装,"20.88, , ",9,2019年11月,1,自动,2,四驱,国VI,2,中型SUV,95,黑色
蒙迪欧 2018款 EcoBoost 180 时尚型,"9.58, , ",1.6,2021年6月,0,自动,1.5,前驱,国V,1.5,中型车,92,白色
领克03 2019款 2.0TD 自动劲Pro版,"8.98, , ",4.8,2020年6月,0,自动,2,前驱,国VI,2,紧凑型车,95,黑色
领克03 2022款 1.5TD DCT劲Plus,"9.18, , ",3,2022年5月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,95,白色
福克斯 2017款 两厢 EcoBoost 125 自动超能风尚型智行版,"4.38, , ",8.5,2018年1月,1,自动,1,前驱,国V,1,紧凑型车,92,白色
长安UNI-V 2022款 1.5T 尊贵型,"7.58, , ",2.8,2023年3月,1,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
领克01 2017款 2.0T 两驱型Pro版,"8.38, , ",3.63,2018年7月,0,自动,2,前驱,国V,2,紧凑型SUV,95,蓝色
MG6 2021款 Pro 1.5T 自动Trophy旗舰版,"7.58, , ",2,2021年10月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,黄/橙色
宝马X3 2022款 改款二 xDrive30i 领先型 M曜夜套装,"35.80, , ",0.7,2023年4月,1,自动,2,四驱,国VI,2,中型SUV,95,白色
天籁 2020款 2.0L XL Upper 智行版,"10.58, , ",6,2020年1月,0,自动,2,前驱,国VI,2,中型车,92,银/灰色
逸动 2021款 PLUS 蓝鲸NE 1.4T GDI DCT旗舰型,"5.98, , ",2.6,2021年6月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,92,银/灰色
迈腾 2019款 330TSI DSG 豪华型 国VI,"11.30, , ",7.8,2019年3月,0,自动,2,前驱,国VI,2,中型车,95,黑色
长安欧尚X5 2021款 1.5T DCT旗舰型,"6.18, , ",3.8,2021年10月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,银/灰色
帕萨特 2019款 330TSI 精英版 国VI,"11.80, , ",6.8,2019年11月,0,自动,2,前驱,国VI,2,中型车,95,黑色
宝马X3 2021款 xDrive28i 豪华套装,"27.68, , ",4.9,2021年4月,0,自动,2,四驱,国VI,2,中型SUV,95,黑色
卡罗拉 2021款 1.2T S-CVT 豪华版,"10.08, , ",0.01,2024年3月,0,自动,1.2,前驱,国VI,1.2,紧凑型车,92,银/灰色
Polo 2016款 1.4L 手动风尚型,"4.58, , ",10,2017年1月,1,手动,1.4,前驱,国V,1.4,小型车,92,白色
马自达3 昂克赛拉 2017款 两厢 2.0L 自动豪华型 国V,"6.48, , ",9.14,2018年2月,2,自动,2,前驱,国V,2,紧凑型车,92,红/紫色
星瑞 2021款 2.0TD 精英型,"6.86, , ",3.68,2020年11月,0,自动,2,前驱,国VI,2,紧凑型车,95,白色
奔驰A级 2019款 A 180 L 运动轿车,"10.98, , ",5,2019年6月,0,自动,1.3,前驱,国VI,1.3,紧凑型车,95,白色
汉腾X7 2018款 X7S 2.0T DCT尊享型,"3.68, , ",5.3,2019年10月,0,自动,2,前驱,国V,2,紧凑型SUV,92,白色
红旗H5 2023款 2.0T 自动智联旗畅版,"14.88, , ",0.9,2023年7月,0,自动,2,前驱,国VI,2,中型车,95,黑色
凯迪拉克XT5 2018款 28E 四驱领先型,"16.18, , ",11,2019年1月,0,自动,2,四驱,国V,2,中型SUV,95,黑色
奔腾B50 2016款 1.4T 自动豪华型,"3.28, , ",6.8,2016年10月,0,自动,1.4,前驱,国V,1.4,紧凑型车,92,白色
凌渡 2017款 280TSI DSG舒适版,"7.28, , ",8.6,2017年10月,2,自动,1.4,前驱,国V,1.4,紧凑型车,95,白色
奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,"15.06, , ",5.2,2018年5月,0,自动,2,前驱,国V,2,中型车,95,白色
凌渡 2015款 230TSI DSG风尚版,"5.68, , ",8,2016年4月,0,自动,1.4,前驱,国V,1.4,紧凑型车,95,白色
领克02 2022款 1.5TD DCT耀Plus,"8.78, , ",2,2021年11月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,95,红/紫色
传祺M8 2021款 领秀系列 390T 尊贵版,"16.98, , ",7.4,2021年7月,0,自动,2,前驱,国VI,2,,95,白色
红旗H5 2020款 1.8T 自动智联旗领版,"9.98, , ",4,2021年12月,0,自动,1.8,前驱,国VI,1.8,中型车,95,黑色
福克斯 2017款 两厢 EcoBoost 180 自动精英型,"5.38, , ",7,2017年10月,0,自动,1.5,前驱,国V,1.5,紧凑型车,92,银/灰色
宝马5系 2019款 525Li 豪华套装,"26.38, , ",7,2019年4月,0,自动,2,后驱,国VI,2,中大型车,95,白色
凯迪拉克CT5 2020款 28T 铂金运动版,"20.58, , ",3.3,2020年6月,0,自动,2,后驱,国VI,2,中型车,95,蓝色
宝马3系 2019款 320Li 时尚型,"15.98, , ",7,2019年7月,0,自动,2,后驱,国VI,2,中型车,95,白色
途锐 2016款 3.0TSI 标配型,"20.58, , ",12,2016年2月,1,自动,3,四驱,国V,3,中大型SUV,95,黑色
迈锐宝 2018款 530T 自动风尚版,"5.38, , ",7,2018年5月,0,自动,1.5,前驱,国V,1.5,中型车,92,白色
星瑞 2023款 1.5TD 扶摇版,"8.20, , ",0.8,2023年9月,1,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
别克GL8 2018款 ES 28T 尊享型 国VI,"18.80, , ",7,2019年9月,0,自动,2,前驱,国VI,2,,95,香槟/棕色
奔驰C级 2020款 C 260 运动版,"18.98, , ",8.6,2020年1月,0,自动,1.5,后驱,国VI,1.5,中型车,95,蓝色
奔驰GLC 2019款 GLC 200 L 4MATIC,"23.18, , ",6.6,2019年8月,1,自动,2,四驱,国VI,2,中型SUV,95,蓝色
蒙迪欧-致胜 2010款 2.3L 时尚型,"1.88, , ",9.5,2010年10月,0,自动,2.3,前驱,国IV,2.3,中型车,92,黑色
", 奥迪A6L 2019款 55 TFSI quattro 尊享动感型","28.50, , ",10,2020年3月,,", ",", ",,", ",,,,
荣威RX5 2023款 1.5T 旗舰智驾版,"12.98, , ",0.01,2024年1月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
锐程CC 2021款 蓝鲸版 1.5T DCT豪华型,"5.18, , ",2.98,2020年12月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
奕炫MAX 2023款 1.5T 超凡萌爸版,"4.98, , ",1.2,2022年11月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
逸动DT 2018款 1.6L 手动智享型,"3.18, , ",3,2019年4月,0,手动,1.6,前驱,国V,1.6,紧凑型车,92,白色
奔腾T99 2020款 20TD 自动尊享型,"6.98, , ",4.3,2019年12月,0,自动,2,前驱,国VI,2,中大型SUV,95,黑色
宝马5系 2021款 525Li 豪华套装,"29.50, , ",4,2020年12月,0,自动,2,后驱,国VI,2,中大型车,95,黑色
影豹 2021款 270T DCT J16版,"6.08, , ",1.9,2022年11月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
MG5 2021款 300TGI DCT青奢风潮版,"5.98, , ",2.5,2022年3月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,黄/橙色
天逸 C5 AIRCROSS 2017款 350THP 时尚型,"8.28, , ",8,2018年2月,0,自动,1.6,前驱,国V,1.6,紧凑型SUV,92,白色
君越 2016款 改款 20T 领先型,"8.88, , ",8,2018年1月,0,自动,1.5,前驱,国V,1.5,中型车,92,白色
", 奥迪A3 2018款 30周年年型 Limousine 35 TFSI 运动型","9.58, , ",8.2,2018年8月,,", ",", ",,", ",,,,
迈锐宝 2018款 530T 自动豪华版,"5.58, , ",7.8,2018年3月,0,自动,1.5,前驱,国V,1.5,中型车,92,白色
迈巴赫S级 2021款 S 480 4MATIC,"128.80, , ",2.18,2021年11月,1,自动,3,四驱,国VI,3,大型车,95,黑色
宝马X3 2020款 xDrive25i M运动套装,"23.68, , ",9,2020年5月,0,自动,2,四驱,国VI,2,中型SUV,95,蓝色
福克斯 2017款 两厢 1.6L 手动风尚型智行版,"4.68, , ",7,2017年9月,1,手动,1.6,前驱,国V,1.6,紧凑型车,92,白色
奥迪Q3 2018款 30 TFSI 时尚型典藏版,"13.28, , ",2.8,2019年4月,1,自动,1.4,前驱,国V,1.4,紧凑型SUV,95,白色
", 思域 2019款 220TURBO CVT劲动版 国V","9.98, , ",1.3,2020年8月,,", ",", ",,", ",,,,
奔腾T77 2020款 PRO 280 TID 自动豪华型,"4.98, , ",3.6,2020年8月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,黄/橙色
奥迪Q2L 2020款 35 TFSI 进取动感型,"11.28, , ",3,2020年3月,0,自动,1.4,前驱,国VI,1.4,小型SUV,95,蓝色
博越 2016款 1.8TD 自动智尊型,"4.38, , ",7.3,2017年3月,0,自动,1.8,前驱,国V,1.8,紧凑型SUV,92,白色
长安UNI-V 2022款 1.5T 运动版,"7.58, , ",2.3,2022年12月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,黑色
福克斯 2017款 两厢 1.6L 手动舒适型智行版,"4.58, , ",8,2018年3月,0,手动,1.6,前驱,国V,1.6,紧凑型车,92,白色
缤智 2017款 1.8L CVT两驱豪华型,"7.38, , ",6,2018年1月,0,自动,1.8,前驱,国V,1.8,小型SUV,92,白色
,,,,,,,,,,,,
揽胜运动版 2020款 3.0 L6 SE,"51.80, , ",8.3,2019年11月,1,自动,3,四驱,国VI,3,中大型SUV,95,白色
奔驰A级 2021款 A 200 L 运动轿车动感型,"14.68, , ",2.8,2021年5月,0,自动,1.3,前驱,国VI,1.3,紧凑型车,95,白色
奥迪Q5L 2020款 40 TFSI 荣享进取型,"21.80, , ",9,2020年3月,0,自动,2,四驱,国VI,2,中型SUV,95,黑色
凌渡 2021款 改款 280TSI DSG舒适版,"9.98, , ",2.2,2021年10月,1,自动,1.4,前驱,国VI,1.4,紧凑型车,95,白色
红旗HS5 2019款 2.0T 智联旗领四驱版,"8.80, , ",4.9,2019年8月,0,自动,2,四驱,国VI,2,中型SUV,95,蓝色
奥迪A4L 2019款 40 TFSI 进取型 国VI,"16.38, , ",3,2020年7月,0,自动,2,前驱,国VI,2,中型车,95,蓝色
瑞虎8 PLUS 2021款 290TGDI DCT豪情版,"7.60, , ",5,2020年12月,1,自动,1.6,前驱,国VI,1.6,中型SUV,92,黑色
一汽-大众CC 2020款 330TSI 魅颜版 国VI,"13.68, , ",5.8,2019年12月,0,自动,2,前驱,国VI,2,中型车,95,白色
红旗H5 2020款 1.8T 自动智联旗韵版,"7.68, , ",4.68,2020年11月,0,自动,1.8,前驱,国VI,1.8,中型车,95,蓝色
凌渡 2019款 230TSI DSG风尚版 国VI,"7.68, , ",4.6,2019年4月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,白色
", 凯迪拉克XT5 2018款 25T 豪华型","14.98, , ",9.2,2019年1月,,", ",", ",,", ",,,,
英朗 2021款 改款 典范 1.5L 自动精英型,"5.68, , ",3,2021年6月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
蒙迪欧 2017款 EcoBoost 180 豪华型,"7.98, , ",8,2017年12月,1,自动,1.5,前驱,国V,1.5,中型车,92,白色
凌渡 2019款 230TSI DSG风尚版 国VI,"7.68, , ",5.2,2019年3月,1,自动,1.4,前驱,国VI,1.4,紧凑型车,95,白色
一汽-大众CC 2020款 330TSI 魅颜版 国VI,"14.70, , ",3.5,2020年1月,0,自动,2,前驱,国VI,2,中型车,95,白色
宝马3系 2017款 320Li 时尚型,"15.98, , ",5.6,2017年6月,0,自动,2,后驱,国V,2,中型车,95,红/紫色
U5 SUV 2017款 1.6L CVT爵士版,"2.40, , ",5.2,2018年4月,1,自动,1.6,前驱,国V,1.6,小型SUV,92,红/紫色
帕萨特 2017款 330TSI DSG尊荣版,"9.98, , ",6,2018年3月,0,自动,1.8,前驱,国V,1.8,中型车,95,黑色
森雅R9 2018款 1.2T 手动舒适智炫型,"2.50, , ",5.71,2018年8月,1,手动,1.2,前驱,国V,1.2,紧凑型SUV,92,蓝色
锐程CC 2022款 蓝鲸版 1.5T DCT尊贵型,"6.98, , ",2.3,2022年7月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
奔驰A级 2019款 A 180 L 运动轿车,"12.08, , ",3.9,2019年3月,0,自动,1.3,前驱,国VI,1.3,紧凑型车,95,白色
天籁 2019款 2.0L XL Upper 智行版,"10.98, , ",6.9,2019年10月,0,自动,2,前驱,国VI,2,中型车,92,红/紫色
哈弗M6 2019款 1.5T DCT两驱精英型 国VI,"4.58, , ",5,2020年5月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
帕萨特 2016款 330TSI DSG尊荣版,"8.62, , ",8.9,2017年1月,1,自动,1.8,前驱,国V,1.8,中型车,95,银/灰色
凯迪拉克CT5 2021款 改款 28T 豪华型,"16.58, , ",3.5,2021年10月,0,自动,2,后驱,国VI,2,中型车,95,蓝色
朗逸 2019款 1.5L 自动舒适版 国VI,"7.85, , ",3.41,2021年1月,1,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
", 宝马5系 2018款 改款 530Li 领先型 豪华套装","26.58, , ",4.7,2018年5月,,", ",", ",,", ",,,,
帕萨特 2021款 280TSI 精英版,"10.98, , ",4.6,2021年9月,0,自动,1.4,前驱,国VI,1.4,中型车,95,黑色
蒙迪欧 2013款 1.5L GTDi180时尚型,"4.18, , ",8,2014年8月,1,自动,1.5,前驱,国IV(国V),1.5,中型车,92,白色
", 长安欧尚X7 2020款 1.5T 自动豪华型","6.68, , ",3.9,2020年7月,,", ",", ",,", ",,,,
宝马3系 2017款 318Li 时尚型,"11.68, , ",9,2017年3月,0,自动,1.5,后驱,国V,1.5,中型车,95,白色
远景X3 2017款 1.5L 自动精英型,"3.30, , ",4.22,2018年7月,0,自动,1.5,前驱,国V,1.5,小型SUV,92,香槟/棕色
领克03 2019款 03+ 2.0TD 自动驭风版,"11.98, , ",4,2020年10月,0,自动,2,四驱,国VI,2,紧凑型车,95,黄/橙色
蒙迪欧 2018款 EcoBoost 180 时尚型,"7.45, , ",4.8,2018年6月,0,自动,1.5,前驱,国V,1.5,中型车,92,白色
宝马3系 2017款 320Li M运动型,"14.20, , ",5.31,2017年5月,0,自动,2,后驱,国V,2,中型车,95,蓝色
凌渡 2019款 280TSI DSG舒适版 国VI,"10.88, , ",4.9,2020年10月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,白色
奔驰C级 2021款 C 260 L 运动星耀臻藏版,"24.88, , ",6.9,2021年8月,0,自动,1.5,后驱,国VI,1.5,中型车,95,白色
一汽-大众CC 2020款 330TSI 魅颜版 国VI,"14.59, , ",3.95,2020年2月,0,自动,2,前驱,国VI,2,中型车,95,白色
宝马X3 2020款  xDrive25i 豪华套装,"26.50, , ",5.3,2020年12月,0,自动,2,四驱,国VI,2,中型SUV,95,黑色
奥迪A4L 2019款 40 TFSI 时尚型 国VI,"14.88, , ",10.28,2019年6月,1,自动,2,前驱,国VI,2,中型车,95,白色
", 沃尔沃S90 2019款 T5 智逸版","18.58, , ",12.08,2019年1月,,", ",", ",,", ",,,,
发现运动版 2020款 249PS R-Dynamic 性能版,"21.88, , ",3,2021年1月,2,自动,2,四驱,国VI,2,中型SUV,95,红/紫色
长安UNI-V 2023款 1.5T 运动版,"11.68, , ",0.4,2023年12月,1,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
